uid,id,rarity,time,banner,type,manual
1731615000000035473,20014,3,2024-11-14T20:14:14.000Z,1001,1,false
1731615000000035573,20013,3,2024-11-14T20:14:18.000Z,1001,1,false
1731615000000035673,20009,3,2024-11-14T20:14:20.000Z,1001,1,false
1731615000000035773,20005,3,2024-11-14T20:14:22.000Z,1001,1,false
1731615000000035873,20012,3,2024-11-14T20:14:25.000Z,1001,1,false
1733285400001332073,20017,3,2024-12-04T04:22:19.000Z,1001,1,false
1733285400001332573,20008,3,2024-12-04T04:22:22.000Z,1001,1,false
1733285400001332873,21042,4,2024-12-04T04:22:25.000Z,1001,1,false
1733285400001334073,20013,3,2024-12-04T04:22:28.000Z,1001,1,false
1733285400001334373,1013,4,2024-12-04T04:22:30.000Z,1001,1,false
1733530200000182973,1206,4,2024-12-07T00:50:16.000Z,1001,1,false
1736784600000020373,23003,5,2025-01-13T16:21:52.000Z,1001,1,false
1736784600000020573,20013,3,2025-01-13T16:21:59.000Z,1001,1,false
1736784600000020773,20019,3,2025-01-13T16:22:01.000Z,1001,1,false
1736784600000020873,20014,3,2025-01-13T16:22:04.000Z,1001,1,false
1736784600000020973,20019,3,2025-01-13T16:22:07.000Z,1001,1,false
1736802600000023473,20000,3,2025-01-13T21:16:49.000Z,1001,1,false
1736802600000023573,20004,3,2025-01-13T21:16:52.000Z,1001,1,false
1736802600000023673,20004,3,2025-01-13T21:16:54.000Z,1001,1,false
1736914200000099073,21046,4,2025-01-15T04:01:20.000Z,1001,1,false
1738073400000047673,20021,3,2025-01-28T14:29:15.000Z,1001,1,false
1738894200000023073,20008,3,2025-02-07T02:10:41.000Z,1001,1,false
1738894200000023173,20003,3,2025-02-07T02:10:43.000Z,1001,1,false
1738894200000023273,20011,3,2025-02-07T02:10:45.000Z,1001,1,false
1738894200000023473,20002,3,2025-02-07T02:10:48.000Z,1001,1,false
1738894200000023573,21020,4,2025-02-07T02:10:50.000Z,1001,1,false
1739157000000130473,20014,3,2025-02-10T03:54:37.000Z,1001,1,false
1739236200000076273,20006,3,2025-02-11T01:49:13.000Z,1001,1,false
1740877800000205073,20017,3,2025-03-02T01:57:37.000Z,1001,1,false
1740877800000207573,20002,3,2025-03-02T01:58:16.000Z,1001,1,false
1740877800000207873,20005,3,2025-03-02T01:58:19.000Z,1001,1,false
1740877800000208173,20001,3,2025-03-02T01:58:22.000Z,1001,1,false
1740877800000208373,20003,3,2025-03-02T01:58:24.000Z,1001,1,false
1740877800000208573,20018,3,2025-03-02T01:58:27.000Z,1001,1,false
1744168200000653373,20008,3,2025-04-09T03:01:23.000Z,1001,1,false
1744168200000661673,1111,4,2025-04-09T03:01:25.000Z,1001,1,false
1744168200000687773,20011,3,2025-04-09T03:01:28.000Z,1001,1,false
1744168200000707473,20008,3,2025-04-09T03:01:31.000Z,1001,1,false
1744168200000717873,20006,3,2025-04-09T03:01:33.000Z,1001,1,false
1744168200000742373,20019,3,2025-04-09T03:01:36.000Z,1001,1,false
1744168200000845173,20001,3,2025-04-09T03:01:50.000Z,1001,1,false
1744168200000862973,20009,3,2025-04-09T03:01:53.000Z,1001,1,false
1744168200005357473,20004,3,2025-04-09T03:12:06.000Z,1001,1,false
1744168200008861773,20005,3,2025-04-09T03:23:05.000Z,1001,1,false
1744168200008880073,20012,3,2025-04-09T03:23:08.000Z,1001,1,false
1744168200014364673,21048,4,2025-04-09T03:50:12.000Z,1001,1,false
1744416600000309673,20002,3,2025-04-12T00:49:42.000Z,1001,1,false
1731615000000035973,20007,3,2024-11-14T20:14:29.000Z,2049,11,false
1731615000000036073,20008,3,2024-11-14T20:14:29.000Z,2049,11,false
1731615000000036173,21046,4,2024-11-14T20:14:29.000Z,2049,11,false
1731615000000036273,1108,4,2024-11-14T20:14:29.000Z,2049,11,false
1731615000000036373,20019,3,2024-11-14T20:14:29.000Z,2049,11,false
1731615000000036473,20016,3,2024-11-14T20:14:29.000Z,2049,11,false
1731615000000036573,20006,3,2024-11-14T20:14:29.000Z,2049,11,false
1731615000000036673,20007,3,2024-11-14T20:14:29.000Z,2049,11,false
1731615000000036773,20001,3,2024-11-14T20:14:29.000Z,2049,11,false
1731615000000036873,20017,3,2024-11-14T20:14:29.000Z,2049,11,false
1733530200000166773,20015,3,2024-12-07T00:46:20.000Z,2051,11,false
1733530200000166873,20012,3,2024-12-07T00:46:20.000Z,2051,11,false
1733530200000166973,20005,3,2024-12-07T00:46:20.000Z,2051,11,false
1733530200000167073,1202,4,2024-12-07T00:46:20.000Z,2051,11,false
1733530200000167173,20009,3,2024-12-07T00:46:20.000Z,2051,11,false
1733530200000167273,20008,3,2024-12-07T00:46:20.000Z,2051,11,false
1733530200000167373,20008,3,2024-12-07T00:46:20.000Z,2051,11,false
1733530200000167473,20006,3,2024-12-07T00:46:20.000Z,2051,11,false
1733530200000167573,20009,3,2024-12-07T00:46:20.000Z,2051,11,false
1733530200000167673,20017,3,2024-12-07T00:46:20.000Z,2051,11,false
1733530200000167773,20009,3,2024-12-07T00:46:31.000Z,2051,11,false
1733530200000167873,20018,3,2024-12-07T00:46:31.000Z,2051,11,false
1733530200000167973,21044,4,2024-12-07T00:46:31.000Z,2051,11,false
1733530200000168073,20010,3,2024-12-07T00:46:31.000Z,2051,11,false
1733530200000168173,20009,3,2024-12-07T00:46:31.000Z,2051,11,false
1733530200000168273,20010,3,2024-12-07T00:46:31.000Z,2051,11,false
1733530200000168373,20008,3,2024-12-07T00:46:31.000Z,2051,11,false
1733530200000168473,20005,3,2024-12-07T00:46:31.000Z,2051,11,false
1733530200000168573,1202,4,2024-12-07T00:46:31.000Z,2051,11,false
1733530200000168673,1313,5,2024-12-07T00:46:31.000Z,2051,11,false
1736784600000021173,20001,3,2025-01-13T16:22:13.000Z,2053,11,false
1736784600000021273,20016,3,2025-01-13T16:22:17.000Z,2053,11,false
1736784600000021373,20003,3,2025-01-13T16:22:19.000Z,2053,11,false
1736784600000021473,20015,3,2025-01-13T16:22:23.000Z,2053,11,false
1736784600000021573,20017,3,2025-01-13T16:22:26.000Z,2053,11,false
1736784600000021673,20020,3,2025-01-13T16:22:29.000Z,2053,11,false
1736784600000021773,20011,3,2025-01-13T16:22:31.000Z,2053,11,false
1736802600000023773,20006,3,2025-01-13T21:16:58.000Z,2053,11,false
1736802600000023873,1312,4,2025-01-13T21:17:02.000Z,2053,11,false
1738894200000023673,20003,3,2025-02-07T02:10:55.000Z,2059,11,false
1738894200000023773,20014,3,2025-02-07T02:10:55.000Z,2059,11,false
1738894200000023873,20011,3,2025-02-07T02:10:55.000Z,2059,11,false
1738894200000023973,20005,3,2025-02-07T02:10:55.000Z,2059,11,false
1738894200000024073,20009,3,2025-02-07T02:10:55.000Z,2059,11,false
1738894200000024173,20000,3,2025-02-07T02:10:55.000Z,2059,11,false
1738894200000024273,1202,4,2025-02-07T02:10:55.000Z,2059,11,false
1738894200000024373,20022,3,2025-02-07T02:10:55.000Z,2059,11,false
1738894200000024473,20001,3,2025-02-07T02:10:55.000Z,2059,11,false
1738894200000024573,20018,3,2025-02-07T02:10:55.000Z,2059,11,false
1738894200000024873,20012,3,2025-02-07T02:11:02.000Z,2059,11,false
1738894200000024973,20020,3,2025-02-07T02:11:02.000Z,2059,11,false
1738894200000025073,20007,3,2025-02-07T02:11:02.000Z,2059,11,false
1738894200000025173,20002,3,2025-02-07T02:11:02.000Z,2059,11,false
1738894200000025273,20004,3,2025-02-07T02:11:02.000Z,2059,11,false
1738894200000025373,20013,3,2025-02-07T02:11:02.000Z,2059,11,false
1738894200000025473,1202,4,2025-02-07T02:11:02.000Z,2059,11,false
1738894200000025573,20018,3,2025-02-07T02:11:02.000Z,2059,11,false
1738894200000025673,20017,3,2025-02-07T02:11:02.000Z,2059,11,false
1738894200000025773,20014,3,2025-02-07T02:11:02.000Z,2059,11,false
1738894200000026873,20021,3,2025-02-07T02:11:07.000Z,2059,11,false
1738894200000026973,20003,3,2025-02-07T02:11:07.000Z,2059,11,false
1738894200000027073,20018,3,2025-02-07T02:11:07.000Z,2059,11,false
1738894200000027173,20012,3,2025-02-07T02:11:07.000Z,2059,11,false
1738894200000027273,20020,3,2025-02-07T02:11:07.000Z,2059,11,false
1738894200000027373,1202,4,2025-02-07T02:11:07.000Z,2059,11,false
1738894200000027473,20020,3,2025-02-07T02:11:07.000Z,2059,11,false
1738894200000027573,20007,3,2025-02-07T02:11:07.000Z,2059,11,false
1738894200000027673,20006,3,2025-02-07T02:11:07.000Z,2059,11,false
1738894200000027773,20008,3,2025-02-07T02:11:07.000Z,2059,11,false
1738894200000029073,20003,3,2025-02-07T02:11:13.000Z,2059,11,false
1738894200000029173,20018,3,2025-02-07T02:11:13.000Z,2059,11,false
1738894200000029273,20003,3,2025-02-07T02:11:13.000Z,2059,11,false
1738894200000029373,20018,3,2025-02-07T02:11:13.000Z,2059,11,false
1738894200000029473,20005,3,2025-02-07T02:11:13.000Z,2059,11,false
1738894200000029573,21002,4,2025-02-07T02:11:13.000Z,2059,11,false
1738894200000029673,20017,3,2025-02-07T02:11:13.000Z,2059,11,false
1738894200000029773,20006,3,2025-02-07T02:11:13.000Z,2059,11,false
1738894200000029873,20004,3,2025-02-07T02:11:13.000Z,2059,11,false
1738894200000029973,20006,3,2025-02-07T02:11:13.000Z,2059,11,false
1738894200000031173,20020,3,2025-02-07T02:11:19.000Z,2059,11,false
1738894200000031273,20002,3,2025-02-07T02:11:19.000Z,2059,11,false
1738894200000031373,20008,3,2025-02-07T02:11:19.000Z,2059,11,false
1738894200000031473,1215,4,2025-02-07T02:11:19.000Z,2059,11,false
1738894200000031573,20015,3,2025-02-07T02:11:19.000Z,2059,11,false
1738894200000031673,20005,3,2025-02-07T02:11:19.000Z,2059,11,false
1738894200000031773,21013,4,2025-02-07T02:11:19.000Z,2059,11,false
1738894200000031873,20020,3,2025-02-07T02:11:19.000Z,2059,11,false
1738894200000031973,20008,3,2025-02-07T02:11:19.000Z,2059,11,false
1738894200000032073,20009,3,2025-02-07T02:11:19.000Z,2059,11,false
1738894200000032373,20003,3,2025-02-07T02:11:42.000Z,2059,11,false
1738894200000032473,20020,3,2025-02-07T02:11:48.000Z,2059,11,false
1738894200000032573,20018,3,2025-02-07T02:11:50.000Z,2059,11,false
1738894200000032673,1202,4,2025-02-07T02:11:53.000Z,2059,11,false
1738894200000033773,20017,3,2025-02-07T02:12:02.000Z,2059,11,false
1738894200000034873,20004,3,2025-02-07T02:12:07.000Z,2059,11,false
1738894200000035073,20013,3,2025-02-07T02:12:12.000Z,2059,11,false
1738894200000035173,20016,3,2025-02-07T02:12:17.000Z,2059,11,false
1738894200000035273,1206,4,2025-02-07T02:12:22.000Z,2059,11,false
1738894200000035473,1312,4,2025-02-07T02:12:27.000Z,2059,11,false
1738894200000037773,20012,3,2025-02-07T02:12:37.000Z,2059,11,false
1738894200000037873,20016,3,2025-02-07T02:12:42.000Z,2059,11,false
1738944600000047573,20012,3,2025-02-07T16:15:36.000Z,2059,11,false
1738944600000047673,20013,3,2025-02-07T16:15:44.000Z,2059,11,false
1738944600000047973,20007,3,2025-02-07T16:16:07.000Z,2059,11,false
1739070600000108373,20009,3,2025-02-09T03:52:10.000Z,2059,11,false
1739070600000108473,20001,3,2025-02-09T03:52:16.000Z,2059,11,false
1739070600000124373,20022,3,2025-02-09T03:55:25.000Z,2059,11,false
1739074200000130673,1202,4,2025-02-09T04:43:24.000Z,2059,11,false
1739074200000130873,1206,4,2025-02-09T04:43:30.000Z,2059,11,false
1739074200000131073,20002,3,2025-02-09T04:43:36.000Z,2059,11,false
1739074200000131573,20011,3,2025-02-09T04:43:46.000Z,2059,11,false
1739074200000131973,20016,3,2025-02-09T04:43:51.000Z,2059,11,false
1739074200000168173,1004,5,2025-02-09T04:55:32.000Z,2059,11,false
1739074200000168773,20007,3,2025-02-09T04:56:38.000Z,2059,11,false
1739074200000168873,20006,3,2025-02-09T04:56:41.000Z,2059,11,false
1739157000000130073,20006,3,2025-02-10T03:54:26.000Z,2059,11,false
1739157000000130173,20005,3,2025-02-10T03:54:30.000Z,2059,11,false
1739160600000011573,1215,4,2025-02-10T04:07:46.000Z,2059,11,false
1739160600000011673,20018,3,2025-02-10T04:07:54.000Z,2059,11,false
1739160600000041973,20012,3,2025-02-10T04:26:23.000Z,2059,11,false
1739160600000043173,20005,3,2025-02-10T04:26:28.000Z,2059,11,false
1739160600000043373,20004,3,2025-02-10T04:26:31.000Z,2059,11,false
1739160600000043473,20007,3,2025-02-10T04:26:35.000Z,2059,11,false
1739236200000075673,20010,3,2025-02-11T01:49:01.000Z,2059,11,false
1739236200000075873,20016,3,2025-02-11T01:49:04.000Z,2059,11,false
1739236200000075973,20017,3,2025-02-11T01:49:08.000Z,2059,11,false
1739243400000006173,20021,3,2025-02-11T03:01:36.000Z,2059,11,false
1739247000000040973,1206,4,2025-02-11T04:21:23.000Z,2059,11,false
1739247000000041073,20010,3,2025-02-11T04:21:26.000Z,2059,11,false
1739247000000042173,20013,3,2025-02-11T04:21:34.000Z,2059,11,false
1739286600000052073,20001,3,2025-02-11T15:44:43.000Z,2059,11,false
1739286600000053173,20001,3,2025-02-11T15:45:08.000Z,2059,11,false
1739286600000053273,20020,3,2025-02-11T15:45:08.000Z,2059,11,false
1739286600000053373,20004,3,2025-02-11T15:45:08.000Z,2059,11,false
1739286600000053473,20005,3,2025-02-11T15:45:08.000Z,2059,11,false
1739286600000053573,20016,3,2025-02-11T15:45:08.000Z,2059,11,false
1739286600000053673,21014,4,2025-02-11T15:45:08.000Z,2059,11,false
1739286600000053773,20010,3,2025-02-11T15:45:08.000Z,2059,11,false
1739286600000053873,20011,3,2025-02-11T15:45:08.000Z,2059,11,false
1739286600000053973,20020,3,2025-02-11T15:45:08.000Z,2059,11,false
1739286600000054073,20012,3,2025-02-11T15:45:08.000Z,2059,11,false
1739286600000054173,20019,3,2025-02-11T15:45:16.000Z,2059,11,false
1739286600000054273,20002,3,2025-02-11T15:45:19.000Z,2059,11,false
1739286600000054373,20012,3,2025-02-11T15:45:22.000Z,2059,11,false
1739286600000054473,20014,3,2025-02-11T15:45:25.000Z,2059,11,false
1739423400000015773,20004,3,2025-02-13T05:13:06.000Z,2059,11,false
1739423400000024373,1206,4,2025-02-13T05:22:22.000Z,2059,11,false
1739423400000024473,20015,3,2025-02-13T05:22:30.000Z,2059,11,false
1739495400000021173,20009,3,2025-02-14T01:21:03.000Z,2059,11,false
1739589000000085773,20014,3,2025-02-15T03:47:07.000Z,2059,11,false
1739589000000085873,20021,3,2025-02-15T03:47:11.000Z,2059,11,false
1739592600000094073,20012,3,2025-02-15T04:48:00.000Z,2059,11,false
1739592600000094173,20019,3,2025-02-15T04:48:03.000Z,2059,11,false
1739592600000094373,20006,3,2025-02-15T04:48:06.000Z,2059,11,false
1739639400000065373,20021,3,2025-02-15T17:58:31.000Z,2059,11,false
1739646600000101373,1206,4,2025-02-15T19:58:30.000Z,2059,11,false
1739646600000101473,20019,3,2025-02-15T19:58:33.000Z,2059,11,false
1739646600000101673,20022,3,2025-02-15T19:58:41.000Z,2059,11,false
1739686200000003373,20007,3,2025-02-16T06:03:31.000Z,2059,11,false
1739686200000003473,20007,3,2025-02-16T06:03:31.000Z,2059,11,false
1739686200000003573,20016,3,2025-02-16T06:03:31.000Z,2059,11,false
1739686200000003673,20006,3,2025-02-16T06:03:31.000Z,2059,11,false
1739686200000003773,21043,4,2025-02-16T06:03:31.000Z,2059,11,false
1739686200000003873,20007,3,2025-02-16T06:03:31.000Z,2059,11,false
1739686200000003973,20012,3,2025-02-16T06:03:31.000Z,2059,11,false
1739686200000004073,20010,3,2025-02-16T06:03:31.000Z,2059,11,false
1739686200000004173,20008,3,2025-02-16T06:03:31.000Z,2059,11,false
1739686200000004273,20020,3,2025-02-16T06:03:31.000Z,2059,11,false
1739686200000004373,20008,3,2025-02-16T06:03:43.000Z,2059,11,false
1744168200004614373,20008,3,2025-04-09T03:10:20.000Z,2067,11,false
1744168200004614473,20003,3,2025-04-09T03:10:20.000Z,2067,11,false
1744168200004614573,20020,3,2025-04-09T03:10:20.000Z,2067,11,false
1744168200004614673,1110,4,2025-04-09T03:10:20.000Z,2067,11,false
1744168200004614773,20016,3,2025-04-09T03:10:20.000Z,2067,11,false
1744168200004614873,20000,3,2025-04-09T03:10:20.000Z,2067,11,false
1744168200004614973,20001,3,2025-04-09T03:10:20.000Z,2067,11,false
1744168200004615073,20014,3,2025-04-09T03:10:20.000Z,2067,11,false
1744168200004615173,20009,3,2025-04-09T03:10:20.000Z,2067,11,false
1744168200004615273,20019,3,2025-04-09T03:10:20.000Z,2067,11,false
1744168200004668573,20015,3,2025-04-09T03:10:28.000Z,2067,11,false
1744168200004668673,20007,3,2025-04-09T03:10:28.000Z,2067,11,false
1744168200004668773,1301,4,2025-04-09T03:10:28.000Z,2067,11,false
1744168200004668873,20013,3,2025-04-09T03:10:28.000Z,2067,11,false
1744168200004668973,20017,3,2025-04-09T03:10:28.000Z,2067,11,false
1744168200004669073,20002,3,2025-04-09T03:10:28.000Z,2067,11,false
1744168200004669173,20011,3,2025-04-09T03:10:28.000Z,2067,11,false
1744168200004669273,20016,3,2025-04-09T03:10:28.000Z,2067,11,false
1744168200004669373,1407,5,2025-04-09T03:10:28.000Z,2067,11,false
1744168200004669473,20022,3,2025-04-09T03:10:28.000Z,2067,11,false
1744168200005382573,20020,3,2025-04-09T03:12:09.000Z,2067,11,false
1734905400000017673,20005,3,2024-12-22T22:11:13.000Z,3052,12,false
1734905400000017773,20019,3,2024-12-22T22:11:17.000Z,3052,12,false
1734905400000017973,20015,3,2024-12-22T22:11:20.000Z,3052,12,false
1734905400000018073,20010,3,2024-12-22T22:11:23.000Z,3052,12,false
1734905400000018273,20015,3,2024-12-22T22:11:31.000Z,3052,12,false
1734905400000018373,20008,3,2024-12-22T22:11:33.000Z,3052,12,false
1734905400000018473,20010,3,2024-12-22T22:11:36.000Z,3052,12,false
1734905400000018573,21046,4,2024-12-22T22:11:38.000Z,3052,12,false
1734905400000018673,20020,3,2024-12-22T22:11:42.000Z,3052,12,false
1734905400000018773,20013,3,2024-12-22T22:11:44.000Z,3052,12,false
1734905400000018873,20013,3,2024-12-22T22:11:47.000Z,3052,12,false
1744168200005411773,20002,3,2025-04-09T03:12:14.000Z,3067,12,false
1744168200005438573,20019,3,2025-04-09T03:12:17.000Z,3067,12,false
1744168200005457973,20002,3,2025-04-09T03:12:19.000Z,3067,12,false
1744168200005480073,20000,3,2025-04-09T03:12:22.000Z,3067,12,false
1744168200005480173,20015,3,2025-04-09T03:12:22.000Z,3067,12,false
1744168200005480273,21000,4,2025-04-09T03:12:22.000Z,3067,12,false
1744168200005480373,20016,3,2025-04-09T03:12:22.000Z,3067,12,false
1744168200005480473,20007,3,2025-04-09T03:12:22.000Z,3067,12,false
1744168200005480573,20005,3,2025-04-09T03:12:22.000Z,3067,12,false
1744168200005480673,20022,3,2025-04-09T03:12:22.000Z,3067,12,false
1744168200005480773,1223,4,2025-04-09T03:12:22.000Z,3067,12,false
1744168200005480873,23013,5,2025-04-09T03:12:22.000Z,3067,12,false
1744168200005480973,20022,3,2025-04-09T03:12:22.000Z,3067,12,false
1744168200005727973,20021,3,2025-04-09T03:12:56.000Z,3067,12,false
1744168200005728073,20020,3,2025-04-09T03:12:56.000Z,3067,12,false
1744168200005728173,20007,3,2025-04-09T03:12:56.000Z,3067,12,false
1744168200005728273,20004,3,2025-04-09T03:12:56.000Z,3067,12,false
1744168200005728373,23040,5,2025-04-09T03:12:56.000Z,3067,12,false
1744168200005728473,21044,4,2025-04-09T03:12:56.000Z,3067,12,false
1744168200005728573,20013,3,2025-04-09T03:12:56.000Z,3067,12,false
1744168200005728673,20010,3,2025-04-09T03:12:56.000Z,3067,12,false
1744168200005728773,20018,3,2025-04-09T03:12:56.000Z,3067,12,false
1744168200005728873,20002,3,2025-04-09T03:12:56.000Z,3067,12,false