Reference: https://www.youtube.com/watch?v=chlj-Y6NM14,,,,,,,
uid,pull_number,rarity,type,did_win_featured,eidolon,pity_counter,pity_counter_featured
user3_pull1,1,3,11,,,1,1
user3_pull2,2,4,11,,,2,2
user3_pull3,3,3,11,,,3,3
user3_pull4,4,3,11,,,4,4
user3_pull5,5,3,11,,,5,5
user3_pull6,6,3,11,,,6,6
user3_pull7,7,3,11,,,7,7
user3_pull8,8,3,11,,,8,8
user3_pull9,9,3,11,,,9,9
user3_pull10,10,3,11,,,10,10
user3_pull11,11,4,11,,,11,11
user3_pull12,12,3,11,,,12,12
user3_pull13,13,5,11,win,e0,13,13
user3_pull14,14,3,11,,e0,1,1
user3_pull15,15,3,11,,e0,2,2
user3_pull16,16,3,11,,e0,3,3
user3_pull17,17,4,11,,e0,4,4
user3_pull18,18,3,11,,e0,5,5
user3_pull19,19,3,11,,e0,6,6
user3_pull20,20,3,11,,e0,7,7
user3_pull21,21,3,11,,e0,8,8
user3_pull22,22,3,11,,e0,9,9
user3_pull23,23,4,11,,e0,10,10
user3_pull24,24,3,11,,e0,11,11
user3_pull25,25,3,11,,e0,12,12
user3_pull26,26,3,11,,e0,13,13
user3_pull27,27,3,11,,e0,14,14
user3_pull28,28,3,11,,e0,15,15
user3_pull29,29,3,11,,e0,16,16
user3_pull30,30,3,11,,e0,17,17
user3_pull31,31,3,11,,e0,18,18
user3_pull32,32,3,11,,e0,19,19
user3_pull33,33,4,11,,e0,20,20
user3_pull34,34,3,11,,e0,21,21
user3_pull35,35,3,11,,e0,22,22
user3_pull36,36,3,11,,e0,23,23
user3_pull37,37,3,11,,e0,24,24
user3_pull38,38,3,11,,e0,25,25
user3_pull39,39,3,11,,e0,26,26
user3_pull40,40,3,11,,e0,27,27
user3_pull41,41,3,11,,e0,28,28
user3_pull42,42,3,11,,e0,29,29
user3_pull43,43,4,11,,e0,30,30
user3_pull44,44,3,11,,e0,31,31
user3_pull45,45,3,11,,e0,32,32
user3_pull46,46,4,11,,e0,33,33
user3_pull47,47,3,11,,e0,34,34
user3_pull48,48,3,11,,e0,35,35
user3_pull49,49,4,11,,e0,36,36
user3_pull50,50,3,11,,e0,37,37
user3_pull51,51,3,11,,e0,38,38
user3_pull52,52,3,11,,e0,39,39
user3_pull53,53,5,11,lose,e0,40,40
user3_pull54,54,3,11,,e0,1,41
user3_pull55,55,3,11,,e0,2,42
user3_pull56,56,3,11,,e0,3,43
user3_pull57,57,3,11,,e0,4,44
user3_pull58,58,3,11,,e0,5,45
user3_pull59,59,4,11,,e0,6,46
user3_pull60,60,3,11,,e0,7,47
user3_pull61,61,3,11,,e0,8,48
user3_pull62,62,3,11,,e0,9,49
user3_pull63,63,3,11,,e0,10,50
user3_pull64,64,3,11,,e0,11,51
user3_pull65,65,3,11,,e0,12,52
user3_pull66,66,3,11,,e0,13,53
user3_pull67,67,3,11,,e0,14,54
user3_pull68,68,3,11,,e0,15,55
user3_pull69,69,4,11,,e0,16,56
user3_pull70,70,3,11,,e0,17,57
user3_pull71,71,3,11,,e0,18,58
user3_pull72,72,3,11,,e0,19,59
user3_pull73,73,3,11,,e0,20,60
user3_pull74,74,3,11,,e0,21,61
user3_pull75,75,3,11,,e0,22,62
user3_pull76,76,3,11,,e0,23,63
user3_pull77,77,4,11,,e0,24,64
user3_pull78,78,3,11,,e0,25,65
user3_pull79,79,4,11,,e0,26,66
user3_pull80,80,3,11,,e0,27,67
user3_pull81,81,4,11,,e0,28,68
user3_pull82,82,3,11,,e0,29,69
user3_pull83,83,3,11,,e0,30,70
user3_pull84,84,3,11,,e0,31,71
user3_pull85,85,3,11,,e0,32,72
user3_pull86,86,3,11,,e0,33,73
user3_pull87,87,3,11,,e0,34,74
user3_pull88,88,3,11,,e0,35,75
user3_pull89,89,3,11,,e0,36,76
user3_pull90,90,3,11,,e0,37,77
user3_pull91,91,4,11,,e0,38,78
user3_pull92,92,3,11,,e0,39,79
user3_pull93,93,3,11,,e0,40,80
user3_pull94,94,3,11,,e0,41,81
user3_pull95,95,3,11,,e0,42,82
user3_pull96,96,3,11,,e0,43,83
user3_pull97,97,3,11,,e0,44,84
user3_pull98,98,3,11,,e0,45,85
user3_pull99,99,3,11,,e0,46,86
user3_pull100,100,3,11,,e0,47,87
user3_pull101,101,4,11,,e0,48,88
user3_pull102,102,3,11,,e0,49,89
user3_pull103,103,3,11,,e0,50,90
user3_pull104,104,3,11,,e0,51,91
user3_pull105,105,3,11,,e0,52,92
user3_pull106,106,3,11,,e0,53,93
user3_pull107,107,3,11,,e0,54,94
user3_pull108,108,3,11,,e0,55,95
user3_pull109,109,3,11,,e0,56,96
user3_pull110,110,3,11,,e0,57,97
user3_pull111,111,4,11,,e0,58,98
user3_pull112,112,3,11,,e0,59,99
user3_pull113,113,3,11,,e0,60,100
user3_pull114,114,3,11,,e0,61,101
user3_pull115,115,3,11,,e0,62,102
user3_pull116,116,3,11,,e0,63,103
user3_pull117,117,3,11,,e0,64,104
user3_pull118,118,3,11,,e0,65,105
user3_pull119,119,3,11,,e0,66,106
user3_pull120,120,3,11,,e0,67,107
user3_pull121,121,4,11,,e0,68,108
user3_pull122,122,3,11,,e0,69,109
user3_pull123,123,3,11,,e0,70,110
user3_pull124,124,3,11,,e0,71,111
user3_pull125,125,3,11,,e0,72,112
user3_pull126,126,3,11,,e0,73,113
user3_pull127,127,3,11,,e0,74,114
user3_pull128,128,5,11,guaranteed,e1,75,115
user3_pull129,129,3,11,,e1,1,1
user3_pull130,130,4,11,,e1,2,2
user3_pull131,131,3,11,,e1,3,3
user3_pull132,132,3,11,,e1,4,4
user3_pull133,133,3,11,,e1,5,5
user3_pull134,134,5,11,lose,e1,6,6
user3_pull135,135,4,11,,e1,1,7
user3_pull136,136,4,11,,e1,2,8
user3_pull137,137,3,11,,e1,3,9
user3_pull138,138,3,11,,e1,4,10
user3_pull139,139,3,11,,e1,5,11
user3_pull140,140,3,11,,e1,6,12
user3_pull141,141,3,11,,e1,7,13
user3_pull142,142,3,11,,e1,8,14
user3_pull143,143,3,11,,e1,9,15
user3_pull144,144,3,11,,e1,10,16
user3_pull145,145,4,11,,e1,11,17
user3_pull146,146,3,11,,e1,12,18
user3_pull147,147,3,11,,e1,13,19
user3_pull148,148,3,11,,e1,14,20
user3_pull149,149,3,11,,e1,15,21
user3_pull150,150,3,11,,e1,16,22
user3_pull151,151,3,11,,e1,17,23
user3_pull152,152,3,11,,e1,18,24
user3_pull153,153,3,11,,e1,19,25
user3_pull154,154,4,11,,e1,20,26
user3_pull155,155,3,11,,e1,21,27
user3_pull156,156,3,11,,e1,22,28
user3_pull157,157,3,11,,e1,23,29
user3_pull158,158,3,11,,e1,24,30
user3_pull159,159,3,11,,e1,25,31
user3_pull160,160,3,11,,e1,26,32
user3_pull161,161,3,11,,e1,27,33
user3_pull162,162,3,11,,e1,28,34
user3_pull163,163,4,11,,e1,29,35
user3_pull164,164,3,11,,e1,30,36
user3_pull165,165,3,11,,e1,31,37
user3_pull166,166,3,11,,e1,32,38
user3_pull167,167,3,11,,e1,33,39
user3_pull168,168,4,11,,e1,34,40
user3_pull169,169,3,11,,e1,35,41
user3_pull170,170,3,11,,e1,36,42
user3_pull171,171,3,11,,e1,37,43
user3_pull172,172,3,11,,e1,38,44
user3_pull173,173,3,11,,e1,39,45
user3_pull174,174,3,11,,e1,40,46
user3_pull175,175,3,11,,e1,41,47
user3_pull176,176,3,11,,e1,42,48
user3_pull177,177,3,11,,e1,43,49
user3_pull178,178,4,11,,e1,44,50
user3_pull179,179,4,11,,e1,45,51
user3_pull180,180,3,11,,e1,46,52
user3_pull181,181,4,11,,e1,47,53
user3_pull182,182,3,11,,e1,48,54
user3_pull183,183,3,11,,e1,49,55
user3_pull184,184,4,11,,e1,50,56
user3_pull185,185,3,11,,e1,51,57
user3_pull186,186,3,11,,e1,52,58
user3_pull187,187,3,11,,e1,53,59
user3_pull188,188,3,11,,e1,54,60
user3_pull189,189,3,11,,e1,55,61
user3_pull190,190,3,11,,e1,56,62
user3_pull191,191,3,11,,e1,57,63
user3_pull192,192,3,11,,e1,58,64
user3_pull193,193,3,11,,e1,59,65
user3_pull194,194,4,11,,e1,60,66
user3_pull195,195,3,11,,e1,61,67
user3_pull196,196,3,11,,e1,62,68
user3_pull197,197,3,11,,e1,63,69
user3_pull198,198,4,11,,e1,64,70
user3_pull199,199,3,11,,e1,65,71
user3_pull200,200,3,11,,e1,66,72
user3_pull201,201,3,11,,e1,67,73
user3_pull202,202,4,11,,e1,68,74
user3_pull203,203,3,11,,e1,69,75
user3_pull204,204,3,11,,e1,70,76
user3_pull205,205,3,11,,e1,71,77
user3_pull206,206,3,11,,e1,72,78
user3_pull207,207,3,11,,e1,73,79
user3_pull208,208,3,11,,e1,74,80
user3_pull209,209,3,11,,e1,75,81
user3_pull210,210,5,11,guaranteed,e2,76,82
user3_pull211,211,4,11,,e2,1,1
user3_pull212,212,3,11,,e2,2,2
user3_pull213,213,3,11,,e2,3,3
user3_pull214,214,3,11,,e2,4,4
user3_pull215,215,3,11,,e2,5,5
user3_pull216,216,3,11,,e2,6,6
user3_pull217,217,3,11,,e2,7,7
user3_pull218,218,3,11,,e2,8,8
user3_pull219,219,3,11,,e2,9,9
user3_pull220,220,4,11,,e2,10,10
user3_pull221,221,3,11,,e2,11,11
user3_pull222,222,3,11,,e2,12,12
user3_pull223,223,3,11,,e2,13,13
user3_pull224,224,3,11,,e2,14,14
user3_pull225,225,3,11,,e2,15,15
user3_pull226,226,3,11,,e2,16,16
user3_pull227,227,3,11,,e2,17,17
user3_pull228,228,3,11,,e2,18,18
user3_pull229,229,4,11,,e2,19,19
user3_pull230,230,3,11,,e2,20,20
user3_pull231,231,3,11,,e2,21,21
user3_pull232,232,3,11,,e2,22,22
user3_pull233,233,3,11,,e2,23,23
user3_pull234,234,3,11,,e2,24,24
user3_pull235,235,3,11,,e2,25,25
user3_pull236,236,3,11,,e2,26,26
user3_pull237,237,3,11,,e2,27,27
user3_pull238,238,4,11,,e2,28,28
user3_pull239,239,3,11,,e2,29,29
user3_pull240,240,3,11,,e2,30,30
user3_pull241,241,3,11,,e2,31,31
user3_pull242,242,3,11,,e2,32,32
user3_pull243,243,3,11,,e2,33,33
user3_pull244,244,3,11,,e2,34,34
user3_pull245,245,3,11,,e2,35,35
user3_pull246,246,3,11,,e2,36,36
user3_pull247,247,3,11,,e2,37,37
user3_pull248,248,4,11,,e2,38,38
user3_pull249,249,3,11,,e2,39,39
user3_pull250,250,3,11,,e2,40,40
user3_pull251,251,3,11,,e2,41,41
user3_pull252,252,3,11,,e2,42,42
user3_pull253,253,3,11,,e2,43,43
user3_pull254,254,3,11,,e2,44,44
user3_pull255,255,3,11,,e2,45,45
user3_pull256,256,3,11,,e2,46,46
user3_pull257,257,3,11,,e2,47,47
user3_pull258,258,4,11,,e2,48,48
user3_pull259,259,3,11,,e2,49,49
user3_pull260,260,3,11,,e2,50,50
user3_pull261,261,3,11,,e2,51,51
user3_pull262,262,3,11,,e2,52,52
user3_pull263,263,3,11,,e2,53,53
user3_pull264,264,3,11,,e2,54,54
user3_pull265,265,3,11,,e2,55,55
user3_pull266,266,3,11,,e2,56,56
user3_pull267,267,4,11,,e2,57,57
user3_pull268,268,3,11,,e2,58,58
user3_pull269,269,3,11,,e2,59,59
user3_pull270,270,3,11,,e2,60,60
user3_pull271,271,3,11,,e2,61,61
user3_pull272,272,3,11,,e2,62,62
user3_pull273,273,3,11,,e2,63,63
user3_pull274,274,3,11,,e2,64,64
user3_pull275,275,3,11,,e2,65,65
user3_pull276,276,3,11,,e2,66,66
user3_pull277,277,4,11,,e2,67,67
user3_pull278,278,3,11,,e2,68,68
user3_pull279,279,3,11,,e2,69,69
user3_pull280,280,3,11,,e2,70,70
user3_pull281,281,3,11,,e2,71,71
user3_pull282,282,3,11,,e2,72,72
user3_pull283,283,4,11,,e2,73,73
user3_pull284,284,3,11,,e2,74,74
user3_pull285,285,3,11,,e2,75,75
user3_pull286,286,3,11,,e2,76,76
user3_pull287,287,3,11,,e2,77,77
user3_pull288,288,5,11,win,e3,78,78
user3_pull289,289,3,11,,e3,1,1
user3_pull290,290,3,11,,e3,2,2
user3_pull291,291,3,11,,e3,3,3
user3_pull292,292,3,11,,e3,4,4
user3_pull293,293,4,11,,e3,5,5
user3_pull294,294,3,11,,e3,6,6
user3_pull295,295,3,11,,e3,7,7
user3_pull296,296,3,11,,e3,8,8
user3_pull297,297,3,11,,e3,9,9
user3_pull298,298,4,11,,e3,10,10
user3_pull299,299,3,11,,e3,11,11
user3_pull300,300,3,11,,e3,12,12
user3_pull301,301,3,11,,e3,13,13
user3_pull302,302,3,11,,e3,14,14
user3_pull303,303,3,11,,e3,15,15
user3_pull304,304,3,11,,e3,16,16
user3_pull305,305,3,11,,e3,17,17
user3_pull306,306,3,11,,e3,18,18
user3_pull307,307,4,11,,e3,19,19
user3_pull308,308,3,11,,e3,20,20
user3_pull309,309,3,11,,e3,21,21
user3_pull310,310,3,11,,e3,22,22
user3_pull311,311,3,11,,e3,23,23
user3_pull312,312,3,11,,e3,24,24
user3_pull313,313,3,11,,e3,25,25
user3_pull314,314,4,11,,e3,26,26
user3_pull315,315,3,11,,e3,27,27
user3_pull316,316,3,11,,e3,28,28
user3_pull317,317,3,11,,e3,29,29
user3_pull318,318,4,11,,e3,30,30
user3_pull319,319,3,11,,e3,31,31
user3_pull320,320,3,11,,e3,32,32
user3_pull321,321,3,11,,e3,33,33
user3_pull322,322,3,11,,e3,34,34
user3_pull323,323,3,11,,e3,35,35
user3_pull324,324,4,11,,e3,36,36
user3_pull325,325,3,11,,e3,37,37
user3_pull326,326,3,11,,e3,38,38
user3_pull327,327,3,11,,e3,39,39
user3_pull328,328,3,11,,e3,40,40
user3_pull329,329,3,11,,e3,41,41
user3_pull330,330,3,11,,e3,42,42
user3_pull331,331,3,11,,e3,43,43
user3_pull332,332,3,11,,e3,44,44
user3_pull333,333,4,11,,e3,45,45
user3_pull334,334,3,11,,e3,46,46
user3_pull335,335,3,11,,e3,47,47
user3_pull336,336,3,11,,e3,48,48
user3_pull337,337,3,11,,e3,49,49
user3_pull338,338,3,11,,e3,50,50
user3_pull339,339,3,11,,e3,51,51
user3_pull340,340,3,11,,e3,52,52
user3_pull341,341,3,11,,e3,53,53
user3_pull342,342,4,11,,e3,54,54
user3_pull343,343,3,11,,e3,55,55
user3_pull344,344,4,11,,e3,56,56
user3_pull345,345,3,11,,e3,57,57
user3_pull346,346,3,11,,e3,58,58
user3_pull347,347,3,11,,e3,59,59
user3_pull348,348,3,11,,e3,60,60
user3_pull349,349,5,11,win,e4,61,61
user3_pull350,350,3,11,,e4,1,1
user3_pull351,351,4,11,,e4,2,2
user3_pull352,352,3,11,,e4,3,3
user3_pull353,353,3,11,,e4,4,4
user3_pull354,354,3,11,,e4,5,5
user3_pull355,355,3,11,,e4,6,6
user3_pull356,356,3,11,,e4,7,7
user3_pull357,357,3,11,,e4,8,8
user3_pull358,358,3,11,,e4,9,9
user3_pull359,359,3,11,,e4,10,10
user3_pull360,360,3,11,,e4,11,11
user3_pull361,361,4,11,,e4,12,12
user3_pull362,362,3,11,,e4,13,13
user3_pull363,363,3,11,,e4,14,14
user3_pull364,364,3,11,,e4,15,15
user3_pull365,365,3,11,,e4,16,16
user3_pull366,366,3,11,,e4,17,17
user3_pull367,367,3,11,,e4,18,18
user3_pull368,368,3,11,,e4,19,19
user3_pull369,369,3,11,,e4,20,20
user3_pull370,370,3,11,,e4,21,21
user3_pull371,371,4,11,,e4,22,22
user3_pull372,372,3,11,,e4,23,23
user3_pull373,373,3,11,,e4,24,24
user3_pull374,374,3,11,,e4,25,25
user3_pull375,375,3,11,,e4,26,26
user3_pull376,376,3,11,,e4,27,27
user3_pull377,377,4,11,,e4,28,28
user3_pull378,378,3,11,,e4,29,29
user3_pull379,379,3,11,,e4,30,30
user3_pull380,380,3,11,,e4,31,31
user3_pull381,381,3,11,,e4,32,32
user3_pull382,382,3,11,,e4,33,33
user3_pull383,383,3,11,,e4,34,34
user3_pull384,384,3,11,,e4,35,35
user3_pull385,385,3,11,,e4,36,36
user3_pull386,386,3,11,,e4,37,37
user3_pull387,387,4,11,,e4,38,38
user3_pull388,388,3,11,,e4,39,39
user3_pull389,389,4,11,,e4,40,40
user3_pull390,390,3,11,,e4,41,41
user3_pull391,391,3,11,,e4,42,42
user3_pull392,392,3,11,,e4,43,43
user3_pull393,393,3,11,,e4,44,44
user3_pull394,394,3,11,,e4,45,45
user3_pull395,395,3,11,,e4,46,46
user3_pull396,396,3,11,,e4,47,47
user3_pull397,397,3,11,,e4,48,48
user3_pull398,398,4,11,,e4,49,49
user3_pull399,399,4,11,,e4,50,50
user3_pull400,400,3,11,,e4,51,51
user3_pull401,401,3,11,,e4,52,52
user3_pull402,402,3,11,,e4,53,53
user3_pull403,403,3,11,,e4,54,54
user3_pull404,404,3,11,,e4,55,55
user3_pull405,405,3,11,,e4,56,56
user3_pull406,406,3,11,,e4,57,57
user3_pull407,407,3,11,,e4,58,58
user3_pull408,408,4,11,,e4,59,59
user3_pull409,409,3,11,,e4,60,60
user3_pull410,410,3,11,,e4,61,61
user3_pull411,411,3,11,,e4,62,62
user3_pull412,412,3,11,,e4,63,63
user3_pull413,413,3,11,,e4,64,64
user3_pull414,414,3,11,,e4,65,65
user3_pull415,415,3,11,,e4,66,66
user3_pull416,416,3,11,,e4,67,67
user3_pull417,417,4,11,,e4,68,68
user3_pull418,418,3,11,,e4,69,69
user3_pull419,419,3,11,,e4,70,70
user3_pull420,420,3,11,,e4,71,71
user3_pull421,421,3,11,,e4,72,72
user3_pull422,422,3,11,,e4,73,73
user3_pull423,423,5,11,win,e5,74,74
user3_pull424,424,3,11,,e5,1,1
user3_pull425,425,3,11,,e5,2,2
user3_pull426,426,3,11,,e5,3,3
user3_pull427,427,4,11,,e5,4,4
user3_pull428,428,3,11,,e5,5,5
user3_pull429,429,3,11,,e5,6,6
user3_pull430,430,3,11,,e5,7,7
user3_pull431,431,3,11,,e5,8,8
user3_pull432,432,3,11,,e5,9,9
user3_pull433,433,3,11,,e5,10,10
user3_pull434,434,3,11,,e5,11,11
user3_pull435,435,3,11,,e5,12,12
user3_pull436,436,3,11,,e5,13,13
user3_pull437,437,4,11,,e5,14,14
user3_pull438,438,3,11,,e5,15,15
user3_pull439,439,3,11,,e5,16,16
user3_pull440,440,3,11,,e5,17,17
user3_pull441,441,3,11,,e5,18,18
user3_pull442,442,3,11,,e5,19,19
user3_pull443,443,3,11,,e5,20,20
user3_pull444,444,3,11,,e5,21,21
user3_pull445,445,3,11,,e5,22,22
user3_pull446,446,3,11,,e5,23,23
user3_pull447,447,4,11,,e5,24,24
user3_pull448,448,3,11,,e5,25,25
user3_pull449,449,3,11,,e5,26,26
user3_pull450,450,3,11,,e5,27,27
user3_pull451,451,3,11,,e5,28,28
user3_pull452,452,4,11,,e5,29,29
user3_pull453,453,3,11,,e5,30,30
user3_pull454,454,3,11,,e5,31,31
user3_pull455,455,3,11,,e5,32,32
user3_pull456,456,3,11,,e5,33,33
user3_pull457,457,4,11,,e5,34,34
user3_pull458,458,3,11,,e5,35,35
user3_pull459,459,3,11,,e5,36,36
user3_pull460,460,4,11,,e5,37,37
user3_pull461,461,3,11,,e5,38,38
user3_pull462,462,3,11,,e5,39,39
user3_pull463,463,3,11,,e5,40,40
user3_pull464,464,3,11,,e5,41,41
user3_pull465,465,3,11,,e5,42,42
user3_pull466,466,3,11,,e5,43,43
user3_pull467,467,3,11,,e5,44,44
user3_pull468,468,3,11,,e5,45,45
user3_pull469,469,4,11,,e5,46,46
user3_pull470,470,3,11,,e5,47,47
user3_pull471,471,3,11,,e5,48,48
user3_pull472,472,3,11,,e5,49,49
user3_pull473,473,3,11,,e5,50,50
user3_pull474,474,3,11,,e5,51,51
user3_pull475,475,4,11,,e5,52,52
user3_pull476,476,3,11,,e5,53,53
user3_pull477,477,3,11,,e5,54,54
user3_pull478,478,3,11,,e5,55,55
user3_pull479,479,3,11,,e5,56,56
user3_pull480,480,3,11,,e5,57,57
user3_pull481,481,3,11,,e5,58,58
user3_pull482,482,3,11,,e5,59,59
user3_pull483,483,3,11,,e5,60,60
user3_pull484,484,4,11,,e5,61,61
user3_pull485,485,3,11,,e5,62,62
user3_pull486,486,3,11,,e5,63,63
user3_pull487,487,3,11,,e5,64,64
user3_pull488,488,3,11,,e5,65,65
user3_pull489,489,3,11,,e5,66,66
user3_pull490,490,3,11,,e5,67,67
user3_pull491,491,3,11,,e5,68,68
user3_pull492,492,3,11,,e5,69,69
user3_pull493,493,3,11,,e5,70,70
user3_pull494,494,4,11,,e5,71,71
user3_pull495,495,4,11,,e5,72,72
user3_pull496,496,3,11,,e5,73,73
user3_pull497,497,3,11,,e5,74,74
user3_pull498,498,5,11,lose,e5,75,75
user3_pull499,499,3,11,,e5,1,76
user3_pull500,500,3,11,,e5,2,77
user3_pull501,501,3,11,,e5,3,78
user3_pull502,502,3,11,,e5,4,79
user3_pull503,503,3,11,,e5,5,80
user3_pull504,504,3,11,,e5,6,81
user3_pull505,505,4,11,,e5,7,82
user3_pull506,506,3,11,,e5,8,83
user3_pull507,507,3,11,,e5,9,84
user3_pull508,508,3,11,,e5,10,85
user3_pull509,509,3,11,,e5,11,86
user3_pull510,510,3,11,,e5,12,87
user3_pull511,511,3,11,,e5,13,88
user3_pull512,512,3,11,,e5,14,89
user3_pull513,513,3,11,,e5,15,90
user3_pull514,514,3,11,,e5,16,91
user3_pull515,515,4,11,,e5,17,92
user3_pull516,516,3,11,,e5,18,93
user3_pull517,517,3,11,,e5,19,94
user3_pull518,518,3,11,,e5,20,95
user3_pull519,519,3,11,,e5,21,96
user3_pull520,520,3,11,,e5,22,97
user3_pull521,521,3,11,,e5,23,98
user3_pull522,522,4,11,,e5,24,99
user3_pull523,523,3,11,,e5,25,100
user3_pull524,524,3,11,,e5,26,101
user3_pull525,525,3,11,,e5,27,102
user3_pull526,526,3,11,,e5,28,103
user3_pull527,527,3,11,,e5,29,104
user3_pull528,528,3,11,,e5,30,105
user3_pull529,529,3,11,,e5,31,106
user3_pull530,530,3,11,,e5,32,107
user3_pull531,531,3,11,,e5,33,108
user3_pull532,532,4,11,,e5,34,109
user3_pull533,533,3,11,,e5,35,110
user3_pull534,534,4,11,,e5,36,111
user3_pull535,535,3,11,,e5,37,112
user3_pull536,536,3,11,,e5,38,113
user3_pull537,537,3,11,,e5,39,114
user3_pull538,538,3,11,,e5,40,115
user3_pull539,539,3,11,,e5,41,116
user3_pull540,540,3,11,,e5,42,117
user3_pull541,541,3,11,,e5,43,118
user3_pull542,542,3,11,,e5,44,119
user3_pull543,543,3,11,,e5,45,120
user3_pull544,544,4,11,,e5,46,121
user3_pull545,545,3,11,,e5,47,122
user3_pull546,546,3,11,,e5,48,123
user3_pull547,547,4,11,,e5,49,124
user3_pull548,548,3,11,,e5,50,125
user3_pull549,549,4,11,,e5,51,126
user3_pull550,550,3,11,,e5,52,127
user3_pull551,551,3,11,,e5,53,128
user3_pull552,552,3,11,,e5,54,129
user3_pull553,553,3,11,,e5,55,130
user3_pull554,554,3,11,,e5,56,131
user3_pull555,555,3,11,,e5,57,132
user3_pull556,556,3,11,,e5,58,133
user3_pull557,557,3,11,,e5,59,134
user3_pull558,558,4,11,,e5,60,135
user3_pull559,559,3,11,,e5,61,136
user3_pull560,560,3,11,,e5,62,137
user3_pull561,561,3,11,,e5,63,138
user3_pull562,562,3,11,,e5,64,139
user3_pull563,563,3,11,,e5,65,140
user3_pull564,564,3,11,,e5,66,141
user3_pull565,565,3,11,,e5,67,142
user3_pull566,566,3,11,,e5,68,143
user3_pull567,567,3,11,,e5,69,144
user3_pull568,568,4,11,,e5,70,145
user3_pull569,569,3,11,,e5,71,146
user3_pull570,570,3,11,,e5,72,147
user3_pull571,571,3,11,,e5,73,148
user3_pull572,572,3,11,,e5,74,149
user3_pull573,573,3,11,,e5,75,150
user3_pull574,574,3,11,,e5,76,151
user3_pull575,575,3,11,,e5,77,152
user3_pull576,576,4,11,,e5,78,153
user3_pull577,577,5,11,guaranteed,e6,79,154
user3_pull578,578,3,11,,e6,1,1
user3_pull579,579,4,11,,e6,2,2
user3_pull580,580,3,11,,e6,3,3